Company,Email,Website,Account location,Street Address,City,State,Country,Postal Code,Phone,Industry
Peanut Plaza Dental,info@peanutplazadental.com,peanutplazadental.com,"3010 Don Mills Rd. Unit 11, North York, ON M2J 3C1, Canada","3010 Don Mills Rd. Unit 11, North York, ON M2J 3C1, Canada",North York,Ontario,Canada,M2J 3C1,+1 416-499-3055,Dentist; Cosmetic dentist
Dr. Janet Cheng Dentistry,,,"662 Finch Ave E, North York, ON M2K 2E6, Canada","662 Finch Ave E, North York, ON M2K 2E6, Canada",North York,Ontario,Canada,M2K 2E6,+1 416-221-7668,Dentist
Yonge Finch Dental Implant Centre,,yfdentalimplants.com,"78 Finch Ave E, North York, ON M2N 7J5, Canada","78 Finch Ave E, North York, ON M2N 7J5, Canada",North York,Ontario,Canada,M2N 7J5,+1 647-799-2006,Dental clinic
Smiles at North York Dental,,snydental.ca,"4815 Leslie St, North York, ON M2J 2K8, Canada","4815 Leslie St, North York, ON M2J 2K8, Canada",North York,Ontario,Canada,M2J 2K8,+1 416-494-5488,Dentist; Cosmetic dentist; Dental clinic; Dental hygienist; Emergency dental service
Fairview Dental Group,rebecca@fairviewdental.ca,fairviewdental.ca,"5 Fairview Mall Dr Suite 230, Toronto, ON M2J 2Z1, Canada","5 Fairview Mall Dr Suite 230, Toronto, ON M2J 2Z1, Canada",Toronto,Ontario,Canada,M2J 2Z1,+1 416-493-4225,Dentist; Cosmetic dentist; Dental hygienist; Teeth whitening service
20 Finch Dental,,20finchdental.com,"20 Finch Ave W, North York, ON M2N 6L1, Canada","20 Finch Ave W, North York, ON M2N 6L1, Canada",North York,Ontario,Canada,M2N 6L1,+1 416-225-5544,Dental clinic; Cosmetic dentist; Dental hygienist; Dental implants periodontist; Denture care center; Emergency dental service; Teeth whitening service
Yonge & Finch Dental Clinic,info@yongeandfinchdental.com,yongeandfinchdental.com,"5635 Yonge St Unit 216, North York, ON M2M 3S9, Canada","5635 Yonge St Unit 216, North York, ON M2M 3S9, Canada",North York,Ontario,Canada,M2M 3S9,+1 647-349-7733,Dental clinic; Cosmetic dentist; Dental hygienist; Dental implants provider; Dentist; Emergency dental service
Walk In Dental Clinic,info@walkindentalclinic.ca,walkindentalclinic.ca,"6093 Yonge St, North York, ON M2M 3W2, Canada","6093 Yonge St, North York, ON M2M 3W2, Canada",North York,Ontario,Canada,M2M 3W2,+1 416-225-1500,Emergency dental service; Cosmetic dentist; Dental clinic; Dental implants periodontist; Dental implants provider; Dentist; Endodontist; Oral surgeon; Periodontist; Teeth whitening service
Maxilla Dental Clinic - Yonge & Finch (North York),info@maxilladental.com,maxilladental.com,"6069 Yonge St, North York, ON M2M 3W2, Canada","6069 Yonge St, North York, ON M2M 3W2, Canada",North York,Ontario,Canada,M2M 3W2,+1 647-513-4033,Dental clinic; Dental implants provider; Emergency dental service
6006 Yonge Dental,,6006yongedental.ca,"6006 Yonge St, North York, ON M2M 3V9, Canada","6006 Yonge St, North York, ON M2M 3V9, Canada",North York,Ontario,Canada,M2M 3V9,+1 416-910-6006,Dental implants provider; Cosmetic dentist; Dental clinic; Dental hygienist; Dental implants periodontist; Dentist; Denture care center; Emergency dental service; Oral surgeon; Pediatric dentist
mh2 dental - Centerpoint,eglinton@mh2dental.com,mh2dental.com,"6464 Yonge St Unit 117, North York, ON M2M 3X4, Canada","6464 Yonge St Unit 117, North York, ON M2M 3X4, Canada",North York,Ontario,Canada,M2M 3X4,+1 437-567-8938,Dentist; Dental clinic
Revive Smiles - Dental Implants,,reviveimplant.ca,"2804 Victoria Park Ave #14, North York, ON M2J 4A8, Canada","2804 Victoria Park Ave #14, North York, ON M2J 4A8, Canada",North York,Ontario,Canada,M2J 4A8,+1 416-499-7878,Dental implants provider; Cosmetic dentist; Dental clinic; Dental implants periodontist; Denture care center
Summer Breeze Dental - Dr. Arlene F. Caringal,info@summerbreezedental.ca,summerbreezedental.ca,"Centerpoint Mall, 6464 Yonge St unit 216, Toronto, ON M2M 3X4, Canada","Centerpoint Mall, 6464 Yonge St unit 216, Toronto, ON M2M 3X4, Canada",Toronto,ON,Canada,M2M 3X4,+1 416-646-1737,Dentist; Cosmetic dentist; Dental clinic; Dental implants periodontist; Denture care center; Emergency dental service; Oral surgeon; Orthodontist; Teeth whitening service
Hong Dental,,,"3636 Victoria Park Ave, North York, ON M2H 3B2, Canada","3636 Victoria Park Ave, North York, ON M2H 3B2, Canada",North York,Ontario,Canada,M2H 3B2,+1 416-491-9989,Dental clinic
Dr. Ju-Sung Yi dental,,,"6117 Yonge St, North York, ON M2M 3W2, Canada","6117 Yonge St, North York, ON M2M 3W2, Canada",North York,Ontario,Canada,M2M 3W2,+1 416-225-7528,Dental clinic; Dentist
Cliffwood Dental Office,dentist@cliffwooddental.com,cliffwooddental.com,"3897 Don Mills Rd., North York, ON M2H 2S7, Canada","3897 Don Mills Rd., North York, ON M2H 2S7, Canada",North York,Ontario,Canada,M2H 2S7,+1 416-496-0725,Dentist
Skymark Dental Centre,,skymarkdental.ca,"3555 Don Mills Rd. Suite 206, North York, ON M2H 3N3, Canada","3555 Don Mills Rd. Suite 206, North York, ON M2H 3N3, Canada",North York,Ontario,Canada,M2H 3N3,+1 416-491-5625,Dentist
Maxilla Dental Specialists,info@maxilladental.com,maxilladental.com,"6065 Yonge St, North York, ON M2M 3W2, Canada","6065 Yonge St, North York, ON M2M 3W2, Canada",North York,Ontario,Canada,M2M 3W2,+1 647-981-3400,Dental clinic
Centerpoint Dental Office,ddspaulchang@gmail.com,drpaulchang.com,"6464 Yonge St, North York, ON M2M 3X4, Canada","6464 Yonge St, North York, ON M2M 3X4, Canada",North York,Ontario,Canada,M2M 3X4,+1 416-730-9773,Dentist
The Institute for Dental Excellence,admin@tideinc.ca,tideinc.ca,"88 Finch Ave E, North York, ON M2N 4R5, Canada","88 Finch Ave E, North York, ON M2N 4R5, Canada",North York,Ontario,Canada,M2N 4R5,(844) 394-3317,Educational institution
Dental Implant Oasis Studio,info@smiledentalimplantsexperts.com,hillcrestvillage.smiledentalimplantsexperts.com,"5879 Leslie St, North York, ON M2H 1J8, Canada","5879 Leslie St, North York, ON M2H 1J8, Canada",North York,Ontario,Canada,M2H 1J8,,Medical Center
Quad Dental Implants,,quaddentalimplants.com,"2804 Victoria Park Ave #14, North York, ON M2J 4A8, Canada","2804 Victoria Park Ave #14, North York, ON M2J 4A8, Canada",North York,Ontario,Canada,M2J 4A8,+1 416-499-7878,Dental implants provider; Cosmetic dentist; Dentist
Med Care Dental Office,,,"3010 Don Mills Rd E, North York, ON M2J 3C1, Canada","3010 Don Mills Rd E, North York, ON M2J 3C1, Canada",North York,Ontario,Canada,M2J 3C1,+1 416-499-3055,Dentist
Dental Implant Beacon Clinic,info@smiledentalimplantsexperts.com,newtonbrookwest.smiledentalimplantsexperts.com,"6190 Yonge St, North York, ON M2M 3X1, Canada","6190 Yonge St, North York, ON M2M 3X1, Canada",North York,Ontario,Canada,M2M 3X1,,Medical Center
Dr. Rick Kochman (Skymark Dental Centre),,skymarkdental.ca,"3555 Don Mills Rd., North York, ON M2H 3N3, Canada","3555 Don Mills Rd., North York, ON M2H 3N3, Canada",North York,Ontario,Canada,M2H 3N3,+1 416-491-5625,Dentist
Greenlife Dental Center,,,"161 Ravel Rd, North York, ON M2H 1T1, Canada","161 Ravel Rd, North York, ON M2H 1T1, Canada",North York,Ontario,Canada,M2H 1T1,+1 416-502-0102,Dentist
Dr Yuriy Pawluk,,,"9 Madawaska Ave Suite 202, North York, ON M2M 2R1, Canada","9 Madawaska Ave Suite 202, North York, ON M2M 2R1, Canada",North York,Ontario,Canada,M2M 2R1,+1 416-730-9172,Dentist
Walk-In Dental Chiropractor,,,"78 Dudley Ave, North York, ON M2N 6H8, Canada","78 Dudley Ave, North York, ON M2N 6H8, Canada",North York,Ontario,Canada,M2N 6H8,+1 416-229-0599,Dentist
Dr Alan Mak Dental Surgeon,,,"6464 Yonge St, North York, ON M2M 3X4, Canada","6464 Yonge St, North York, ON M2M 3X4, Canada",North York,Ontario,Canada,M2M 3X4,+1 416-221-2212,Dentist
Tootherapy Dental Inc.,,,"9 Madawaska Ave, North York, ON M2M 2R1, Canada","9 Madawaska Ave, North York, ON M2M 2R1, Canada",North York,Ontario,Canada,M2M 2R1,+1 647-928-8067,Dental hygienist
EBIKO Dental,ebikodental@gmail.com,ebiko.ca,"3680 Victoria Park Ave, North York, ON M2H 3M6, Canada","3680 Victoria Park Ave, North York, ON M2H 3M6, Canada",North York,Ontario,Canada,M2H 3M6,+1 437-878-4588,Dental supply store
Dental Fashion,info@blueandgreeninc.com,dentalfashion.com,"6478 Yonge St #37015, North York, ON M2M 4J8, Canada","6478 Yonge St #37015, North York, ON M2M 4J8, Canada",North York,Ontario,Canada,M2M 4J8,+1 416-733-7900,Dental supply store
Sedona Dental Clinic,,,"5949 Yonge St #106, North York, ON M2M 3V7, Canada","5949 Yonge St #106, North York, ON M2M 3V7, Canada",North York,Ontario,Canada,M2M 3V7,+1 416-627-2000,Dentist
123 Dental,info@123-dental.com,0123dental.ca,,,,,,,+1 416-977-0123,Dental clinic; Cosmetic dentist; Dental implants periodontist; Service establishment
PINK DENTAL,,mypinkdental.com,,,,,,,+1 416-900-7465,Dental clinic; Service establishment
Summer Breeze Dental - Dr. Arlene F. Caringal,info@summerbreezedental.ca,summerbreezedental.ca,,,,,,,+1 416-646-1737,Dentist; Service establishment
Glencairn Dental North York - Dr. Maria Pereira,info@glencairndental.ca,glencairndental.ca,"511 Marlee Ave, North York, ON M6B 3J3, Canada","511 Marlee Ave, North York, ON M6B 3J3, Canada",North York,Ontario,Canada,M6B 3J3,+1 416-651-6262,Dentist
One Dental,,onedentalnorthyork.ca,"557 Marlee Ave, North York, ON M6B 3J6, Canada","557 Marlee Ave, North York, ON M6B 3J6, Canada",North York,Ontario,Canada,M6B 3J6,+1 416-256-7506,Dentist; Cosmetic dentist; Dental clinic; Dental hygienist; Dental implants provider; Denture care center; Emergency dental service; Oral surgeon; Pediatric dentist; Teeth whitening service
Dufferin Dental Clinic,dufferindentalclinic@rogers.com,dufferindentalclinic.com,"3145 Dufferin St, North York, ON M6A 2S9, Canada","3145 Dufferin St, North York, ON M6A 2S9, Canada",North York,Ontario,Canada,M6A 2S9,+1 416-642-1000,Dental clinic
Platinum Dental Care North York,,platinumdentalcare.ca,"496 Lawrence Ave W Suite 30B, North York, ON M6A 1A1, Canada","496 Lawrence Ave W Suite 30B, North York, ON M6A 1A1, Canada",North York,Ontario,Canada,M6A 1A1,+1 416-783-8686,Dentist; Cosmetic dentist; Dental clinic; Dental implants periodontist; Dental implants provider; Denture care center; Emergency dental service; Orthodontist; Pediatric dentist; Teeth whitening service
North Park Dental Care,,torontolaserdentist.com,"2355 Keele St #202, North York, ON M6M 4A2, Canada","2355 Keele St #202, North York, ON M6M 4A2, Canada",North York,Ontario,Canada,M6M 4A2,+1 416-245-1616,Dentist; Cosmetic dentist; Dental clinic; Dental implants provider; Denture care center; Emergency dental service; Oral surgeon; Orthodontist; Pediatric dentist; Teeth whitening service
Maxilla Dental Clinic - Wilson Ave,info@maxilladental.com,maxilladental.com,"951 Wilson Ave #14, North York, ON M3K 2A7, Canada","951 Wilson Ave #14, North York, ON M3K 2A7, Canada",North York,Ontario,Canada,M3K 2A7,+1 647-914-1122,Dental clinic; Cosmetic dentist; Dental hygienist; Dental implants periodontist; Dental implants provider; Emergency dental service; Orthodontist; Pediatric dentist
After Hours Dental Clinic,,,"2924 Dufferin St, North York, ON M6B 3S8, Canada","2924 Dufferin St, North York, ON M6B 3S8, Canada",North York,Ontario,Canada,M6B 3S8,+1 416-787-6373,Urgent care center
Dentistry in Motion,secure@dentistryinmotion.com,dentistryinmotion.com,"700 Lawrence Ave W #206, North York, ON M6A 3A5, Canada","700 Lawrence Ave W #206, North York, ON M6A 3A5, Canada",North York,Ontario,Canada,M6A 3A5,+1 416-785-7619,Dentist; Cosmetic dentist; Dental clinic; Dental implants periodontist; Denture care center; Emergency dental service; Teeth whitening service
Lawrence West Dental,dentistry@lawrencewestdental.com,lawrencewestdental.com,"1141 Lawrence Ave W, North York, ON M6A 1E1, Canada","1141 Lawrence Ave W, North York, ON M6A 1E1, Canada",North York,Ontario,Canada,M6A 1E1,+1 416-785-8586,Dentist
Yorkdale Dental Centre,,yorkdaledentalcentre.com,"1 Yorkdale Rd Unit 415, Toronto, ON M6A 3A1, Canada","1 Yorkdale Rd Unit 415, Toronto, ON M6A 3A1, Canada",Toronto,Ontario,Canada,M6A 3A1,+1 416-787-1275,Dentist; Cosmetic dentist; Emergency dental service
Wilson Dental Centre,,wilsondental.ca,"968 Wilson Ave, North York, ON M3K 1E7, Canada","968 Wilson Ave, North York, ON M3K 1E7, Canada",North York,Ontario,Canada,M3K 1E7,+1 416-531-2304,Dental clinic
Keele Lawrence Dental,,m.facebook.com,"2392 Keele St, North York, ON M6M 4A5, Canada","2392 Keele St, North York, ON M6M 4A5, Canada",North York,Ontario,Canada,M6M 4A5,+1 416-241-5888,Dental clinic
Avenue Smiles Dental,info@avenuesmilesdental.com,avenuesmilesdental.com,"1704 Avenue Rd Unit A&B, Toronto, ON M5M 3Y4, Canada","1704 Avenue Rd Unit A&B, Toronto, ON M5M 3Y4, Canada",Toronto,Ontario,Canada,M5M 3Y4,+1 249-201-7421,Dentist; Cosmetic dentist; Dental hygienist; Dental implants provider; Denture care center; Emergency dental service; Orthodontist; Pediatric dentist
Smiles on Lawrence Dental,smilesonlawrence@gmail.com,smilesonlawrence.ca,"960 Lawrence Ave W Suite 103, North York, ON M6A 3B5, Canada","960 Lawrence Ave W Suite 103, North York, ON M6A 3B5, Canada",North York,Ontario,Canada,M6A 3B5,+1 416-256-9088,Dental clinic
The Dental Group (North York),hello@thedentalgroup.ca,thedentalgroup.ca,"1275 Finch Ave W Suite 310, North York, ON M3J 2G5, Canada","1275 Finch Ave W Suite 310, North York, ON M3J 2G5, Canada",North York,Ontario,Canada,M3J 2G5,+1 437-913-9288,Dentist; Cosmetic dentist; Dental clinic; Dental implants periodontist; Emergency dental service; Orthodontist
Quad Dental,info@quaddental.ca,quaddental.ca,"95 The Pond Rd Unit 60, North York, ON M3J 0L1, Canada","95 The Pond Rd Unit 60, North York, ON M3J 0L1, Canada",North York,Ontario,Canada,M3J 0L1,+1 647-955-2252,Dentist; Dental clinic; Orthodontist; Teeth whitening service
Jane Finch Dental,janefinchdental2011@gmail.com,janefinchdental.com,"2011 Finch Ave W, North York, ON M3N 2V3, Canada","2011 Finch Ave W, North York, ON M3N 2V3, Canada",North York,Ontario,Canada,M3N 2V3,+1 416-743-4227,Dental clinic
Pars Dental Clinic,info@parsdentalclinic.com,parsdentalclinic.com,"2875 Keele St, North York, ON M3M 2G7, Canada","2875 Keele St, North York, ON M3M 2G7, Canada",North York,Ontario,Canada,M3M 2G7,+1 647-370-8334,Dentist; Cosmetic dentist; Dental clinic; Pediatric dentist
Jane Clair Dental Clinic,frontdesk@janeclairdental.com,janeclairdental.com,"#101, 2698 Jane St, North York, ON M3L 1S5, Canada","#101, 2698 Jane St, North York, ON M3L 1S5, Canada",North York,Ontario,Canada,M3L 1S5,+1 416-742-3636,Dental clinic; Cosmetic dentist; Dental hygienist; Dentist; Emergency dental service; Orthodontist; Pediatric dentist; Teeth whitening service
York Lanes Dental,,yorkusmiles.ca,"80 York Blvd, North York, ON M3J 1P3, Canada","80 York Blvd, North York, ON M3J 1P3, Canada",North York,Ontario,Canada,M3J 1P3,+1 416-736-5038,Dentist; Cosmetic dentist; Dental clinic; Denture care center; Emergency dental service; Oral surgeon; Orthodontist; Pediatric dentist; Teeth whitening service
Emery Village Dental,info@emeryvillagedental.ca,emeryvillagedental.ca,"39 Abraham Welsh Rd Unit C4, North York, ON M9M 0G6, Canada","39 Abraham Welsh Rd Unit C4, North York, ON M9M 0G6, Canada",North York,Ontario,Canada,M9M 0G6,+1 437-900-8266,Dentist; Cosmetic dentist; Dental clinic; Dental hygienist; Emergency dental service; Teeth whitening service
Keele Grandravine Family Dental,hello@keelegrandravinefamilydental.com,keelegrandravinefamilydental.com,"10, 3585 Keele St, Toronto, ON M3J 3H5, Canada","10, 3585 Keele St, Toronto, ON M3J 3H5, Canada",Toronto,Ontario,Canada,M3J 3H5,+1 416-333-8200,Dental clinic
Downsview Dental,info@downsviewdentalcare.com,downsviewdentalcare.com,"2530 Jane St Unit B, North York, ON M3L 1S1, Canada","2530 Jane St Unit B, North York, ON M3L 1S1, Canada",North York,Ontario,Canada,M3L 1S1,+1 416-742-9804,Dental clinic; Dentist
Mydent Dental,,mydent.ca,"1280 Finch Ave W suite 707, North York, ON M3J 3K6, Canada","1280 Finch Ave W suite 707, North York, ON M3J 3K6, Canada",North York,Ontario,Canada,M3J 3K6,+1 416-901-1150,Dental clinic
Altima Jane Street Dental Centre,janestreet@altima.ca,altimajanestreetdental.com,"3869 Jane St, North York, ON M3N 2K1, Canada","3869 Jane St, North York, ON M3N 2K1, Canada",North York,Ontario,Canada,M3N 2K1,+1 647-943-0726,Dentist; Cosmetic dentist; Dental clinic; Emergency dental service
Smile Dentistry at Downsview Park,,smiledentistrydvp.ca,"3296 Keele St, North York, ON M3M 2H8, Canada","3296 Keele St, North York, ON M3M 2H8, Canada",North York,Ontario,Canada,M3M 2H8,+1 416-630-2483,Dental clinic; Cosmetic dentist; Dentist; Denture care center; Emergency dental service; Orthodontist; Pediatric dentist
Sheppard Jane Dental Clinic,info@familycosmeticdentistry.ca,familycosmeticdentistry.ca,"2715 Jane St, North York, ON M3L 1S3, Canada","2715 Jane St, North York, ON M3L 1S3, Canada",North York,Ontario,Canada,M3L 1S3,+1 416-742-5111,Dentist; Cosmetic dentist; Dental clinic; Dental hygienist; Denture care center; Emergency dental service; Orthodontist; Periodontist; Teeth whitening service
Dr. Melbourne Dental,,jmelbournedental.com,"2100 Finch Ave W #204, North York, ON M3N 2Z9, Canada","2100 Finch Ave W #204, North York, ON M3N 2Z9, Canada",North York,Ontario,Canada,M3N 2Z9,+1 416-736-9800,Dental clinic
Ephesians Dental,,sites.google.com,"2065 Finch Ave W Unit 210, North York, ON M3N 2V7, Canada","2065 Finch Ave W Unit 210, North York, ON M3N 2V7, Canada",North York,Ontario,Canada,M3N 2V7,+1 416-743-6828,Dental clinic; Dentist
Shoreham Dental Toronto | Dr. Nosente Bollo-Kamara,info@shorehamdental.ca,shorehamdental.ca,"4732 Jane St, North York, ON M3N 2L3, Canada","4732 Jane St, North York, ON M3N 2L3, Canada",North York,Ontario,Canada,M3N 2L3,+1 416-661-6117,Dentist; Cosmetic dentist; Dental clinic; Emergency dental service; Oral surgeon; Orthodontist
Chrysalis Dental Centres,,chrysaliscanada.com,"250 Canarctic Dr, North York, ON M3J 2P4, Canada","250 Canarctic Dr, North York, ON M3J 2P4, Canada",North York,Ontario,Canada,M3J 2P4,+1 416-250-9393,Dental implants periodontist; Cosmetic dentist; Dental clinic; Dental hygienist; Dental laboratory; Dentist; Denture care center; Emergency dental service; Oral surgeon; Periodontist
A&E Dental Centre,aedentalart@gmail.com,aedentalart.com,"3212 Weston Rd, North York, ON M9M 2T7, Canada","3212 Weston Rd, North York, ON M9M 2T7, Canada",North York,Ontario,Canada,M9M 2T7,+1 416-746-0005,Dentist
Dr. Ayman Gaia Dental Clinic,agaiadental@gmail.com,aymandental.com,"4640 Jane St #205, North York, ON M3N 2K5, Canada","4640 Jane St #205, North York, ON M3N 2K5, Canada",North York,Ontario,Canada,M3N 2K5,+1 416-749-2020,Dental clinic
Steeles Weston Family Dental North York,,steeleswestonfamilydental.ca,"5109 Steeles Ave W #10, North York, ON M9L 2Y8, Canada","5109 Steeles Ave W #10, North York, ON M9L 2Y8, Canada",North York,Ontario,Canada,M9L 2Y8,+1 647-951-5833,Dentist; Dental clinic; Dental hygienist; Denture care center; Emergency dental service; Pediatric dentist; Teeth whitening service
Downsview Park Dental Clinic,,dvpdentalclinic.ca,"20 De Boers Dr # 101, North York, ON M3J 0L6, Canada","20 De Boers Dr # 101, North York, ON M3J 0L6, Canada",North York,Ontario,Canada,M3J 0L6,+1 416-222-9090,Dental clinic; Cosmetic dentist
Downsview Dental Arts,info@downsviewdentalarts.com,downsviewdentalarts.com,"549 Wilson Heights Blvd, North York, ON M3H 2V7, Canada","549 Wilson Heights Blvd, North York, ON M3H 2V7, Canada",North York,Ontario,Canada,M3H 2V7,+1 416-633-5566,Dental clinic
DentalX Downsview Dental Clinic,info@dentalx.ca,dentalxddc.ca,"Unit D-2 170 Rimrock Road ,Downsview, North York, ON M3J 3A6, Canada","Unit D-2 170 Rimrock Road ,Downsview, North York, ON M3J 3A6, Canada",North York,ON,Canada,M3J 3A6,+1 416-630-9000,Dentist; Cosmetic dentist; Dental clinic; Emergency dental service
Humber Summit Family Dental,office@hsfd.ca,hsfd.ca,"2552 Finch Ave W Unit 107, North York, ON M9M 2G3, Canada","2552 Finch Ave W Unit 107, North York, ON M9M 2G3, Canada",North York,Ontario,Canada,M9M 2G3,+1 416-749-1201,Dental clinic; Cosmetic dentist; Dentist; Pediatric dentist
Bright Smile Centre - Dental Hygiene Clinic,olivaisberg@gmail.com,brightsmilecentre.ca,"4646 Dufferin St Unit 3, Toronto, ON M3H 5S4, Canada","4646 Dufferin St Unit 3, Toronto, ON M3H 5S4, Canada",Toronto,Ontario,Canada,M3H 5S4,+1 647-388-4133,Dental hygienist; Teeth whitening service
Keele & Finch Dental Office | Dr. Rodolfo Olvera,drolveradds@yahoo.ca,keeleandfinchdentaloffice.com,"1280 Finch Ave W Suite 709, North York, ON M3J 3K6, Canada","1280 Finch Ave W Suite 709, North York, ON M3J 3K6, Canada",North York,Ontario,Canada,M3J 3K6,+1 416-667-7672,Dentist; Cosmetic dentist; Dental clinic; Emergency dental service; Oral surgeon; Teeth whitening service
Haas Dental Centre,info@haasdental.com,haasdental.com,"906 Sheppard Ave W Unit #1, North York, ON M3H 2T5, Canada","906 Sheppard Ave W Unit #1, North York, ON M3H 2T5, Canada",North York,Ontario,Canada,M3H 2T5,+1 416-638-8999,Dental clinic
United Dental,info@united-dental.ca,united-dental.ca,"856 Sheppard Ave W, North York, ON M3H 5H7, Canada","856 Sheppard Ave W, North York, ON M3H 5H7, Canada",North York,Ontario,Canada,M3H 5H7,+1 647-409-9555,Dentist
York Gate Dental,ccouch@smartcentres.com,yorkgatemall.com,"1 York Gate Blvd, North York, ON M3N 3A1, Canada","1 York Gate Blvd, North York, ON M3N 3A1, Canada",North York,Ontario,Canada,M3N 3A1,+1 416-650-5033,Dentist
Finch West Dental Office,,,"2540 Finch Ave W, North York, ON M9M 2G3, Canada","2540 Finch Ave W, North York, ON M9M 2G3, Canada",North York,Ontario,Canada,M9M 2G3,+1 416-740-6112,Dentist
Jane Street Dental Clinic,janestreet@teethfirstdental.com,janestreetdental.ca,"2780 Jane St Suite 210, North York, ON M3N 2J2, Canada","2780 Jane St Suite 210, North York, ON M3N 2J2, Canada",North York,Ontario,Canada,M3N 2J2,+1 416-742-5249,Dentist
Viva Dental Toronto,info@vivadentaltoronto.com,vivadentaltoronto.com,"620 Wilson Ave #310, North York, ON M3K 1Z3, Canada","620 Wilson Ave #310, North York, ON M3K 1Z3, Canada",North York,Ontario,Canada,M3K 1Z3,+1 416-635-8002,Dentist
Dental-Med Family & Cosmetic Dentistry,info@dental-med.ca,dental-med.ca,"1290 Finch Ave W #14, North York, ON M3J 3K3, Canada","1290 Finch Ave W #14, North York, ON M3J 3K3, Canada",North York,Ontario,Canada,M3J 3K3,+1 416-665-8888,Dentist
Family Dentistry on Finch & Jayzel,dentistryonfinchandjayzel@gmail.com,finchjayzeldental.com,"Dental, 2437 Finch Ave W 2nd Floor, North York, ON M9M 2E7, Canada","Dental, 2437 Finch Ave W 2nd Floor, North York, ON M9M 2E7, Canada",North York,ON,Canada,M9M 2E7,+1 416-746-2470,Dental clinic
Dental Specialty Group,info@dentalsgtoronto.ca,dentalspecialtygroup.ca,"4801 Keele St #44, North York, ON M3J 3A4, Canada","4801 Keele St #44, North York, ON M3J 3A4, Canada",North York,Ontario,Canada,M3J 3A4,+1 416-663-4758,Oral and maxillofacial surgeon
Smiles on Steeles | Dental Clinic,,,"4101 Steeles Ave W Unit 4107, North York, ON M3N 2H4, Canada","4101 Steeles Ave W Unit 4107, North York, ON M3N 2H4, Canada",North York,Ontario,Canada,M3N 2H4,+1 416-667-8777,Dentist; Dental clinic; Dental hygienist; Emergency dental service; Teeth whitening service
